"","Course ID","Course Title","Course Credits","Section","Day","Time","Building","Instructor","Final Exam","Seats","Enroll","WaitList"
"91","L97 GS 3319","Health, Healing and Ethics: Introduction to Medical Anthropology","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","[TBA]","Paper/Project/Take Home","90","0","0"
"92","L97 GS 3321","Topics in Film Studies: Cinema and Society in Post-War Italy","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Sherberg","No Final","15","0","0"
"93","L97 GS 3331","The Modern Voice in Japanese Literature","3.0 Units","01","-T-R---","2:30P-3:50P","TBA","Copeland, Wei","Paper/Project/Take Home","25","0","0"
"94","L97 GS 3406","Israeli Women Writers","3.0 Units","01","M-W----","11:30A-12:50P","TBA","Berg","Paper/Project/Take Home","16","0","0"
"95","L97 GS 342","Modern and Contemporary Chinese Literature","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","Chen, L","Paper/Project/Take Home","45","0","0"
"96","L97 GS 3490","Yidishkayt: Yiddish Literature in English Translation","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Zuehlke","Paper/Project/Take Home","19","0","0"
"97","L97 GS 3511","Global Surveillance Culture","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Koellner","Project","19","0","0"
"98","L97 GS 3527","Fantasy, Sci-Fi, and Horror: Genre-Fiction in Arabic Literature","3.0 Units","01","M-W----","3:00P-4:50P","TBA","Husain","Paper/Project/Take Home","18","0","0"
"99","L97 GS 3530","Understanding Indian Literature Through Visual Media","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Verma","Paper/Project/Take Home","20","0","0"
"100","L97 GS 3550","Topics in Korean Literature and Culture: Buddhist Culture of Korea","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Poletto","Paper/Project/Take Home","19","0","0"
"101","L97 GS 3602","Borders, Checkpoints, and the Frontiers of Literature","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Graebner","May  7 2024  1:00PM -  3:00PM","20","0","0"
"102","L97 GS 3604","Environmental Inequality: Toxicity, Health, and Justice","3.0 Units","01","M-W----","11:30A-12:50P","TBA","Richardson","Paper/Project/Take Home","35","0","0"
"103","L97 GS 3612","Population and Society","3.0 Units","01","-T-R---","10:00A-11:20A","TBA","Childs","No Final","36","0","0"
"104","L97 GS 364","Anarchism: History, Theory, and Praxis","3.0 Units","01","-T-R---","10:00A-11:20A","TBA","Hirsch","Paper/Project/Take Home","15","0","0"
"105","L97 GS 364","Anarchism: History, Theory, and Praxis","3.0 Units","02","-T-R---","4:00P-5:20P","TBA","Hirsch","Paper/Project/Take Home","15","0","0"
"106","L97 GS 3650","Topics in Modern Korean Literature: The Korean Wave: Reading Korea through Popular Culture and Media","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","Lee, W","Paper/Project/Take Home","19","0","0"
"107","L97 GS 373","International Political Economy","3.0 Units","01","-T-R---","2:30P-3:50P","TBA","Pond","No Final","20","0","0"
"108","L97 GS 3750","Topics in Russian Literature and Culture: The Short Story (WI)","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Svobodny","Paper","15","0","0"
"109","L97 GS 376","International Economics","3.0 Units","01","M-W----","10:00A-11:20A","TBA","Kim","May  6 2024 10:30AM - 12:30PM","25","0","0"
"110","L97 GS 3762","Cinema and Society: Feminist Filmmaking","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Haklin","Paper/Project/Take Home","12","0","0"
"111","L97 GS 3892","Modern Sculpture: Canova to Koons","3.0 Units","01","-T-R---","2:30P-3:50P","Kemper / 103   ","Klein","May  8 2024  3:30PM -  5:30PM","40","0","0"
"112","L97 GS 3900","EALC Seminar: East Asian Buddhism: Chan/Son/Zen","3.0 Units","01","M-W----","11:30A-12:50P","TBA","Poletto","Paper/Project/Take Home","0","0","0"
"113","L97 GS 3901","Topics in JIMES: Education in Divided Societies - the Israeli Case","3.0 Units","01","-T-R---","11:30A-12:50P","TBA","Hendin","Paper/Project/Take Home","30","0","0"
"114","L97 GS 3922","Secular and Religious: A Global History","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Adcock","Paper/Project/Take Home","30","0","0"
"115","L97 GS 4007","Global Studies Research Methods Proseminar and Assistantship","3.0 Units","01","M------","12:00P-1:50P","McMillan / 259   ","Reynolds","No Final","0","0","0"
"116","L97 GS 4023","Second-Language Acquisition and Technology","3.0 Units","01","-T-----","2:30P-5:20P","TBA","Kerschen","Paper/Project/Take Home","18","0","0"
"117","L97 GS 4070","Global Justice","3.0 Units","01","M------","2:00P-4:50P","TBA","Lovett","No Final","20","0","0"
"118","L97 GS 4104","Studies in Genre: Living Rhymes, Rhyming Lives","3.0 Units","01","M-W----","2:30P-3:50P","TBA","Williams","No Final","20","0","0"
"119","L97 GS 4204","International Relations of Latin America (WI)","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Hirsch","Take Home Exam","15","0","0"
"120","L97 GS 4251","Topics in Religion and Culture in East Asia: Women, Confucianism and Buddhism in East Asia","3.0 Units","01","-T-----","3:00P-5:50P","TBA","Poletto","Paper/Project/Take Home","15","0","0"
"121","L97 GS 4311","Renegades and Radicals: The Japanese New Wave","3.0 Units","01","-T-R---","10:00A-11:20A","TBA","Lewis","May  7 2024  6:00PM -  8:00PM","19","0","0"
"122","L97 GS 4311","Renegades and Radicals: The Japanese New Wave","3.0 Units","A","--W----","7:00P-10:00P","TBA","Lewis","Default - none","19","0","0"
"123","L97 GS 4325","Global Art Cinema","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Burnett","May  7 2024  1:00PM -  3:00PM","19","0","0"
"124","L97 GS 4325","Global Art Cinema","3.0 Units","A","-T-----","4:00P-6:50P","TBA","Burnett","Default - none","19","0","0"
"125","L97 GS 4441","The Forbidden City","3.0 Units","01","M------","1:00P-3:50P","Kemper / 211   ","Kleutghen","Paper/Project/Take Home","12","0","0"
"126","L97 GS 4481","Writing Culture","3.0 Units","01","--W----","3:00P-5:50P","McMillan / 150   ","Beck","No Final","15","0","0"
"127","L97 GS 4485","Topics in Irish Literature: Modern Irish Poetry","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Batten","No Final","15","0","0"
"128","L97 GS 4491","Modern Japanese Women Writers","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Copeland","Paper/Project/Take Home","19","0","0"
"129","L97 GS 450","Masterworks of Early Japanese Literature: The Tale of Genji and its Afterlives","3.0 Units","01","M-W----","1:00P-2:20P","TBA","Newhard","Paper/Project/Take Home","15","0","0"
"130","L97 GS 455","Topics in Korean Literature and Culture: Global Korean Music through a Cultural Lens","3.0 Units","01","--W----","3:00P-5:50P","TBA","Lee, W","Paper/Project/Take Home","12","0","0"
"131","L97 GS 4640","Nation and Desire in Latin America","3.0 Units","01","M------","4:00P-6:50P","TBA","Moraña","No Final","20","0","0"
"132","L97 GS 4868","Russia and the West: Creating and Representing Identity","3.0 Units","01","-T-R---","2:30P-3:50P","TBA","Svobodny","Paper","15","0","0"
"133","L10 Latin 102D","Beginning Latin II","4.0 Units","01","MTWR---","3:00P-3:50P","TBA","Gonzales","May  2 2024  1:00PM -  3:00PM","19","0","0"
"134","L10 Latin 3161","Introduction to Latin Literature II:  Elementary Prose and Poetry","3.0 Units","01","M-W-F--","1:00P-1:50P","TBA","Wilson","May  8 2024  1:00PM -  3:00PM","15","0","0"
"135","L10 Latin 3181","Survey of Latin Literature: The Empire","3.0 Units","01","M-W-F--","11:00A-11:50A","TBA","Sears","Paper/Project/Take Home","15","0","0"
"136","L10 Latin 3181","Survey of Latin Literature: The Empire","3.0 Units","02","M-W-F--","3:00P-3:50P","TBA","Sears","Paper/Project/Take Home","15","0","0"
"137","L10 Latin 416","Seneca and Roman Tragedy","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Purchase","May  3 2024  6:00PM -  8:00PM","15","0","0"
"138","L10 Latin 432","Horace","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Keane","Paper/Project/Take Home","15","0","0"
"139","L10 Latin 507","Survey of Roman Literature I: The Republic","3.0 Units","01","M------","2:30P-5:20P","TBA","Keane","Paper/Project/Take Home","15","0","0"
"140","L10 Latin 5160","Seneca and Roman Tragedy","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Purchase","May  3 2024  6:00PM -  8:00PM","15","0","0"
"141","L10 Latin 5320","Horace","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Keane","Paper/Project/Take Home","15","0","0"
"142","L30 Phil 120F","Problems in Philosophy","3.0 Units","01","M-W----","8:30A-9:50A","TBA","Gardner","See Instructor","35","0","0"
"143","L30 Phil 120F","Problems in Philosophy","3.0 Units","02","M-W----","11:30A-12:50P","TBA","Gardner","See Instructor","35","0","0"
"144","L30 Phil 125C","Great Philosophers","3.0 Units","01","M-W----","4:00P-5:20P","TBA","[TBA]","See Instructor","35","0","0"
"145","L30 Phil 125C","Great Philosophers","3.0 Units","02","M-W----","1:00P-2:20P","TBA","[TBA]","See Instructor","35","0","0"
"146","L30 Phil 131F","Present Moral Problems","3.0 Units","01","M-W----","10:00A-11:20A","TBA","Baril","No Final","35","0","0"
"147","L30 Phil 131F","Present Moral Problems","3.0 Units","02","-T-R---","2:30P-3:50P","TBA","[TBA]","No Final","35","0","0"
"148","L30 Phil 233F","Biomedical Ethics","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Evans","No Final","35","0","0"
"149","L30 Phil 233F","Biomedical Ethics","3.0 Units","02","-T-R---","11:30A-12:50P","TBA","Ciurria","See Instructor","35","0","0"
"150","L30 Phil 233F","Biomedical Ethics","3.0 Units","03","-T-R---","4:00P-5:20P","TBA","Ciurria","No Final","35","0","0"
"151","L30 Phil 234F","Business Ethics","3.0 Units","01","-T-R---","8:30A-9:50A","TBA","Koziolek","No Final","30","0","0"
"152","L30 Phil 234F","Business Ethics","3.0 Units","02","-T-R---","10:00A-11:20A","TBA","Koziolek","No Final","30","0","0"
"153","L30 Phil 235F","Introduction to Environmental Ethics","3.0 Units","01","M-W----","1:00P-2:20P","TBA","Gulledge","No Final","30","0","0"
"154","L30 Phil 2910","Racism and Antiracism","3.0 Units","01","-T-R---","10:00A-11:20A","TBA","Judaken","Paper/Project/Take Home","30","0","0"
"155","L30 Phil 308","Introduction to Semantics","3.0 Units","01","-T-R---","4:00P-5:20P","TBA","Barros","No Final","0","0","0"
"156","L30 Phil 3101","The Problem of Evil: The Holocaust and Other Horrors","3.0 Units","01","M-W----","10:00A-11:20A","TBA","Barmash","Paper/Project/Take Home","35","0","0"
"157","L30 Phil 315","Philosophy of Mind","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Barkasi","No Final","0","0","0"
"158","L30 Phil 3321","Feminist Philosophy","3.0 Units","01","M-W----","4:00P-5:50P","TBA","Watson","May  3 2024  6:00PM -  8:00PM","35","0","0"
"159","L30 Phil 339F","Philosophy of the Arts","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Hazlett","No Final","35","0","0"
"160","L30 Phil 346","Philosophy of Law","3.0 Units","01","M-W----","1:00P-2:20P","TBA","Watson","May  8 2024  1:00PM -  3:00PM","35","0","0"
"161","L30 Phil 3507","Legal Conflict in Modern American Society","3.0 Units","01","--W-F--","10:00A-11:20A","TBA","Cannon","Paper/Project/Take Home","14","0","0"
"162","L30 Phil 357C","Kant and 19th-Century Philosophy","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Baxley","No Final","35","0","0"
"163","L30 Phil 3991","Philosophy Capstone Course:","3.0 Units","01","-T-R---","10:00A-11:20A","Wilson / 104   ","Baxley","No Final","0","0","0"
"164","L30 Phil 4070","Global Justice","3.0 Units","01","M------","2:00P-4:50P","TBA","Lovett","No Final","20","0","0"
"165","L30 Phil 430","Topics in Ethics: Civil Society","3.0 Units","01","--W----","1:00P-3:50P","Wilson / 104   ","Baril","No Final","0","0","0"
"166","L30 Phil 4315","Normative Ethical Theory","3.0 Units","01","M------","1:00P-3:50P","Wilson / 104   ","Baril","No Final","19","0","0"
"167","L30 Phil 465","Topics in the History of Philosophy: Karl Marx","3.0 Units","01","-T-R---","1:00P-2:20P","TBA","Koziolek","No Final","15","0","0"
"168","L30 Phil 514","Survey Seminar: Epistemology","3.0 Units","01","--W----","4:00P-6:50P","Wilson / 104   ","McGrath","No Final","19","0","0"
"169","L30 Phil 516","Research Seminar: Time and Causation: Empirical and Philosophical Approaches","3.0 Units","01","-T-----","5:00P-7:50P","Wilson / 104   ","Craver","No Final","19","0","0"
"170","L23 Re St 2062","Sophomore Seminar: From Cold Damage to Covid-19: A History of Medicine and Disease in East Asia","3.0 Units","01","M-W----","4:00P-5:20P","TBA","Xu","Paper/Project/Take Home","15","0","0"
"171","L23 Re St 238","Gothic Art: Patronage, Piety, and Power","3.0 Units","01","M-W----","10:00A-11:20A","Kemper / 103   ","Crosland","Paper/Project/Take Home","40","0","0"
"172","L23 Re St 2396","The ""Orient"": Europe and Islamic Art from 1851 to Today","3.0 Units","01","M-W----","1:00P-2:20P","Kemper / 103   ","Murphy","May  8 2024  1:00PM -  3:00PM","30","0","0"
"173","L23 Re St 2400","Jewish Political Thought","3.0 Units","01","-T-R---","10:00A-11:20A","TBA","[TBA]","Paper/Project/Take Home","19","0","0"
