Event Title,Organization,Location,Date/Time
Civic Action Week: Finding Fellowship: Honoring History & Community,Gephardt Institute for Civic and Community Engagement,"Stix House, 6470 Forsyth Blvd.",10/16/2023 - 12:00 PM
WashU Apologetics Club Tabling,WashU Apologetics Club,Tisch Commons in the DUC,10/16/2023 - 12:00 PM
Exploring Graduate School Workshop: Statement of Intent and Resume/CVs,"College of Arts & Sciences, Post-Graduate and Pre-Professional Advising",DUC 248,10/16/2023 - 3:00 PM
"Civic Action Week: Justice in the Gateway City: A Panel on Environmental Equity and Health Disparities in St Louis, Featuring Voices from the Frontlines",Gephardt Institute for Civic and Community Engagement,"Stix House, 4670 Forsyth Blvd.",10/16/2023 - 5:30 PM
ABS Let's Talk: Financial Aid,Association of Black Students,Seigle L006,10/16/2023 - 5:30 PM
Scare the Scaries Away Goodie Bag Making,Active Minds at Washington University in St. Louis,DUC 232,10/16/2023 - 6:00 PM
MedEd Volunteer Training FL23,MedEd,DUC 236,10/16/2023 - 6:00 PM
Puzzle Club Game Night,Puzzle Club,Bear's Den Private Dining Room,10/16/2023 - 6:00 PM
GPC General Body Meeting,Graduate Professional Council,TGC Commons (Women’s Building),10/16/2023 - 6:00 PM
WIPAC Mock Knesset,WU Israel Public Affairs Committee,Seigle 206,10/16/2023 - 6:30 PM
Quiz Bowl Practice,Washington University Quiz Bowl,DUC 240,10/16/2023 - 7:00 PM
ACF Men's Small Group,Asian Christian Fellowship,Zetcher 3 Common Rm,10/16/2023 - 7:00 PM
ACF Women's Small Group,Asian Christian Fellowship,Eliot B 1 Common Room,10/16/2023 - 7:00 PM
"Jimmy ""Duck"" Holmes, the Last of the Bentonia Bluesmen, with William Lee Ellis, guitar",Department of Music,"560 Music Center, Pillsbury Theatre",10/16/2023 - 7:30 PM
WashU Apologetics Club Meeting,WashU Apologetics Club,DUC 248,10/16/2023 - 7:30 PM
Dai Practice (Mondays),WashU Standing Drums,DUC 233,10/16/2023 - 8:00 PM
Sunrise Yoga,In the Lou Programming,Kiener Plaza,10/17/2023 - 7:00 AM
SCOPA Tour of Anheuser-Busch Brewery,Olin Supply Chain & Operations Association,"1200 Lynch St, St. Louis, MO 63118",10/17/2023 - 9:30 AM
PhiDE SFTK Fall Fundraiser,Phi Delta Epsilon,DUC Table 4 & DUC 242,10/17/2023 - 11:00 AM
Tuesday Tea @ 3! featuring Women's Water Polo,Campus Life,Tisch Commons,10/17/2023 - 3:00 PM
Philosophy Club Outreach,Philosophy Club,University City High School,10/17/2023 - 3:15 PM
Fall Fest: Autumn Artistry,Campus Life,DUC - Tisch Commons,10/17/2023 - 4:00 PM
Professional Development Event,Tau Kappa Epsilon,TKE House,10/17/2023 - 5:00 PM
Civic Café: Civic Journey Spotlight: Shira Berkowitz,Gephardt Institute for Civic and Community Engagement,"Stix House, 6470 Forsyth Blvd.",10/17/2023 - 5:30 PM
Civic Café: Civic Journey Spotlight: Shira Berkowitz,Gephardt Institute for Civic and Community Engagement,"Stix House, 4670 Forsyth Blvd.",10/17/2023 - 5:30 PM
Fall Event: Escape Room,All Student Theatre,Village Black Box,10/17/2023 - 6:00 PM
SWE GBM #2,Society of Women Engineers,Simon 023,10/17/2023 - 6:30 PM
Cheap Lunch,EnCouncil,Lopata Gallery,10/18/2023 - 11:00 AM
Cheap Lunch,EnCouncil,Lopata Gallery,10/18/2023 - 11:00 AM
October Fundraiser,PL4Y,DUC Table and Zetcher Table,10/18/2023 - 11:00 AM
Pediatric Life Savers BLS Training,Pediatric Life Savers,FLTC 205,10/18/2023 - 1:30 PM
"Monitoring, Maintaining and Improving Your Credit Score",School of Medicine - Student Life,Zoom,10/18/2023 - 2:00 PM
Fall Fest: Bear Bazaar,Campus Life,Edison Courtyard,10/18/2023 - 3:00 PM
Squishy Turtles,EnCouncil,Jubel Spartan Light Metal Products Makerspace,10/18/2023 - 5:00 PM
Civic Action Week: St. Louis Fellows Showcase and Reception,Gephardt Institute for Civic and Community Engagement,"Stix House, 467 Forsyth Blvd.",10/18/2023 - 5:00 PM
Civic Action Week: MetroBus to Target,Gephardt Institute for Civic and Community Engagement,Depart from South 40 Clocktower,10/18/2023 - 5:50 PM
GBM #2 & Workshop: The Pre-Dental Timeline,Pre-Dental Society,Seigle 304,10/18/2023 - 6:00 PM
Russian Language and Culture Meeting,Russian Language & Culture Club,Eads 209,10/18/2023 - 6:00 PM
Anesthesiology (AIG) Introductory Talk,Anesthesiology Interest Group,FLTC 303,10/18/2023 - 6:00 PM
ALASxWUSlam Open Mic,The Association of Latin American Students,DUC Orchid Room,10/18/2023 - 6:30 PM
Class of 2025 Social Mixer,Medical Student Government,Core Rooftop,10/18/2023 - 6:30 PM
William Emmons Speaks to Finding Finance,Finding Finance,BH 230,10/18/2023 - 6:30 PM
Quill & Scalpel Book Cafe Meeting,Quill and Scalpel,"Seigle Hall, Room 208",10/18/2023 - 7:00 PM
Quiz Bowl Practice,Washington University Quiz Bowl,DUC 240,10/18/2023 - 7:00 PM
WashU WIF Social,WashU Women in Finance,BSBA Lounge,10/18/2023 - 7:00 PM
Jazz Band Concert,Department of Music,"560 Music Center, Pillsbury Theatre",10/18/2023 - 7:30 PM
PM&R Intro Talk with Dr. Sloan,Physical Medicine & Rehabilitation Interest Group,FLTC 302,10/19/2023 - 12:00 PM
"SNMA Clinician Scientist Lunch - Angela Brown, MD",Student National Medical Association,FLTC Room 303,10/19/2023 - 12:00 PM
Holman Weekly Studios,Studio: TESLA,"11055 St Charles Rock Rd, St Ann, MO 63074",10/19/2023 - 3:00 PM
Holman Weekly Studios,Studio: TESLA,"11055 St Charles Rock Rd, St Ann, MO 63074",10/19/2023 - 3:00 PM
WashU Graduate and Professional Votes Happy Hour,Gephardt Institute for Civic and Community Engagement,"Stix House, 4670 Forsyth Blvd.",10/19/2023 - 5:00 PM
Civic Action Week: Run24 Mindful One-Miler,Gephardt Institute for Civic and Community Engagement,South 40 Clocktower,10/19/2023 - 5:00 PM
NSIG Research Talks/Panel,Neurosurgery Interest Group,FLTC 302,10/19/2023 - 5:00 PM
WashU E-Sports Fall LAN,Sports Club - Esports and Gaming,Mallinckrodt 302,10/19/2023 - 6:00 PM
WashU E-Sports Fall LAN,Sports Club - Esports and Gaming,Mallinckrodt 302,10/19/2023 - 6:00 PM
Civic Action Week: The Fight for Worker Power,Gephardt Institute for Civic and Community Engagement,"Stix House, 6470 Forsyth Blvd.",10/19/2023 - 6:30 PM
Chai and Chaat,In-between Pan-Asian Mental Health Conference,Lien Seminar Room A,10/19/2023 - 6:30 PM
Sex Ed Trivia,Planned Parenthood Generation Action WashU,Simon 017,10/19/2023 - 7:00 PM
Stereotypes New Member Concert,Stereotypes,Bowles Plaza,10/19/2023 - 7:00 PM
Fall Fest: Camp Mudd,Campus Life,Mudd Field,10/19/2023 - 8:00 PM
St. Louis Art Museum's The Culture: Hip Hop and Contemporary Art in the 21st Century,In the Lou Programming,St. Louis Art Museum,10/20/2023 - 10:00 AM
Hippocratic Forum - Lunch Discussion,Hippocratic Forum,FLTC 211,10/20/2023 - 12:00 PM
Away Weekend vs. Northwestern,Sports Club - Ice Hockey,Robert Crowne Community Center,10/20/2023 - 12:00 PM
AMSRO Intro Lunch Talk,Aerospace Medicine Student & Resident Organization,FLTC 303,10/20/2023 - 2:00 PM
Block Party,School of Medicine - Student Life,UHSP Quad,10/20/2023 - 2:00 PM
Bollywood Spin Class,Ashoka,Sumers Rec Center Dark Room (Wigdor Cycling Studio),10/20/2023 - 4:00 PM
"""The Queer Experience:"" Joy as Resistance Art Show",Gephardt Institute for Civic and Community Engagement,"Stix House, 6470 Forsyth Blvd.",10/20/2023 - 4:28 PM
"Arch Invitational, 2023",WU Mock Trial,Siegle Hall TBD,10/20/2023 - 5:30 PM
HKSA Internal Bonding - Exploring Olive,Hong Kong Students Association,DUC276,10/20/2023 - 5:30 PM
SNMA Movie Night,Student National Medical Association,Holden Auditorium,10/20/2023 - 6:00 PM
SIG Susquehanna Poker Tournament,Poker Club,Lopata Multipurpose Room in Lopata House,10/20/2023 - 6:00 PM
Cherry and Jerry: Ragtime & Blues at Alpha Brewing,In the Lou Programming,Alpha Brewing Company,10/20/2023 - 6:00 PM
Fest-of-Ale,In the Lou Programming,Missouri Botanical Garden,10/20/2023 - 6:00 PM
Celebrating 21 Years at Third Degree,In the Lou Programming,Third Degree Glass Factory,10/20/2023 - 6:00 PM
Club Get Together,Singapore Students' Association,Corner 17 on Delmar Loop,10/20/2023 - 7:00 PM
Friendship Bracelet Making,Alpha Phi Omega,APO Suite,10/20/2023 - 8:00 PM
Mama's Pot Roast Show,Mama's Pot Roast,Brown Hall 100,10/20/2023 - 8:00 PM
Mama's Pot Roast Improv Show,Mama's Pot Roast,Brown Hall 100,10/20/2023 - 8:00 PM
ILLIAC Quiz Bowl Tournament,Washington University Quiz Bowl,University of Illinois Urbana-Champaign,10/21/2023 - 5:00 AM
Bradley Tournament,Sports Club - Women's Volleyball,Bradley University,10/21/2023 - 8:00 AM
Day Trip to Boulder at Elephant Rocks State Park,Outing Club,Elephant Rocks State Park,10/21/2023 - 9:00 AM
Explore Giant City Camping Trip,Outing Club,"Giant City State Park (235 Giant City Rd, Makanda, IL 62958)",10/21/2023 - 10:00 AM
MO River Fall Colors Expedition,In the Lou Programming,4662 Washington Boulevard,10/21/2023 - 10:00 AM
Civic Action Week: Less is More Thrift Trek: Embracing Sustainability in the Face of Overconsumption,Gephardt Institute for Civic and Community Engagement,Depart from South 40 Clocktower,10/21/2023 - 11:00 AM
Dim Sum Social,Hong Kong Students Association,Mudd MPR,10/21/2023 - 11:00 AM
STL Taco Fest,In the Lou Programming,"50 St. Francois St., Florissant, MO 63031",10/21/2023 - 11:00 AM
Beyond the Grave: See STL Tours,In the Lou Programming,MO History Museum,10/21/2023 - 11:00 AM
National Transfer Week: Union Station,Student Transitions & Family Programs,Union Station,10/21/2023 - 1:00 PM
October Workshop,PL4Y,Olin Studios,10/21/2023 - 3:00 PM
2023 Fusia Fest,In the Lou Programming,Off Broadway,10/21/2023 - 4:00 PM
St. Louis Beer Fest,In the Lou Programming,St. Louis Science Center,10/21/2023 - 8:00 PM
Go St. Louis Halloween Race,Sports Club - Running Club,"Downtown Eureka, MO",10/22/2023 - 5:30 AM
Cast n' Crew Build Day,Cast n' Crew,Village Black Box Theatre,10/22/2023 - 9:00 AM
SPACE SUNdays,Spartan Light Metal Products Makerspace,Jubel Hall 138 (Danforth Campus),10/22/2023 - 1:30 PM
Escape Room!,Puzzle Club,Escape Challenge St. Louis—Maryland Heights,10/22/2023 - 2:00 PM
Bowling!,Bowling Club,Clocktower (or Tropicana Lanes),10/22/2023 - 3:00 PM
InterVarsity Missouri Leaders in Training,Asian Christian Fellowship,DUC 236,10/22/2023 - 5:00 PM
Civic Action Week: Affirmative Action Open Forum,Gephardt Institute for Civic and Community Engagement,DUC 276,10/22/2023 - 7:30 PM
Stephen Hero Auditions,Cast n' Crew,Lopata House 23,10/23/2023 - 4:30 PM
Workshop #1,WUHHU,Mudd MPR,10/23/2023 - 5:00 PM
Africa Week: Dance Workshop,African Students Association,Women's Building - Olin Dance Studio 1,10/23/2023 - 6:30 PM
Quiz Bowl Practice,Washington University Quiz Bowl,DUC 240,10/23/2023 - 7:00 PM
Recruitment,ThurtenE Junior Honorary,Brookings Quad,10/23/2023 - 9:00 PM
Sunrise Yoga,In the Lou Programming,Kiener Plaza,10/24/2023 - 7:00 AM
OB/GYN Interest Group Intro Lunch Talk,Obstetrics and Gynecology Interest Group,FLTC 302,10/24/2023 - 12:00 PM
Women in Finance Professional Headshots,WashU Women in Finance,Simon or Bauer Courtyard - TBD,10/24/2023 - 2:00 PM
Exploring Graduate School Workshop: Statement of Intent and Resume/CVs,"College of Arts & Sciences, Post-Graduate and Pre-Professional Advising",DUC 240 (https://wustl.zoom.us/j/98961842919?pwd=OFA1TnBESDVXWXRiYlQ4VUI2RXFwdz09),10/24/2023 - 5:00 PM
WUSM Film Society Screening De Humani Corporis Fabrica,WUSM Film Society,FLTC 301,10/24/2023 - 5:00 PM
Garba Night,Asian-Pacific American Medical Student Association,Shell Cafe,10/24/2023 - 5:30 PM
MD/PhD Panel 2023,Synapse,Seigle L006,10/24/2023 - 5:30 PM
AMWA Small Breakfast Talk,American Medical Women's Association (WUSM),FLTC 201,10/25/2023 - 7:00 AM
Cheap Lunch,EnCouncil,Lopata Gallery,10/25/2023 - 11:00 AM
Cheap Lunch,EnCouncil,Lopata Gallery,10/25/2023 - 11:00 AM
APAMSA Medical Chinese Introductory Social,Asian-Pacific American Medical Student Association,FLTC 301,10/25/2023 - 12:00 PM
Africa Week: Marketplace,African Students Association,Danforth University Center - 276,10/25/2023 - 12:00 PM
Panel Discussion: Physics Department Research,WU Society of Physics Students,Compton 241,10/25/2023 - 5:00 PM
AMWA Phase 2/Clerkship Chat,American Medical Women's Association (WUSM),Cori,10/25/2023 - 6:00 PM
History After Dark: Curiosities & Cocktails,In the Lou Programming,Missouri Historical Society Library & Research Center,10/25/2023 - 6:30 PM
Quiz Bowl Practice,Washington University Quiz Bowl,DUC 240,10/25/2023 - 7:00 PM
EnCouncil GBM,EnCouncil,Simon Hall Room 22,10/25/2023 - 8:00 PM
"""Poisoned"" Food Documentary",Culinary Medicine Program,FLTC 304,10/26/2023 - 12:00 PM
Holman Weekly Studios,Studio: TESLA,"11055 St Charles Rock Rd, St Ann, MO 63074",10/26/2023 - 3:00 PM
Med-Peds Resident Panel!,Med-Peds Interest Group,FLTC 3rd floor (room still TBD but will be communicated through the ListServ),10/26/2023 - 4:00 PM
Ghost Stories & Guitars,In the Lou Programming,MacDermott Grand Hall: MO History Museum,10/26/2023 - 5:30 PM
MSFC Clinic Escort Training,Medical Students for Choice,FLTC 303,10/26/2023 - 6:00 PM
Africa Week: Roundtable,African Students Association,Seigle 208,10/26/2023 - 6:00 PM
Let Hope Glow,Relay For Life,"Risa Commons, South 40",10/26/2023 - 6:00 PM
Adult Play Date: Haunted Happy Hour,In the Lou Programming,The Magic House,10/26/2023 - 6:00 PM
College Dems Fall Social Event,College Democrats,Seigle 204,10/26/2023 - 7:00 PM
An Evening of Broadway Favorites with Winter Opera,In the Lou Programming,World Chess Hall of Fame,10/26/2023 - 7:00 PM
St. Louis Art Museum's The Culture: Hip Hop and Contemporary Art in the 21st Century,In the Lou Programming,St. Louis Art Museum,10/27/2023 - 10:00 AM
Mumbo Jumbo - Flying Invitational,WU Mock Trial,Tufts University,10/27/2023 - 11:45 AM
Kemper Unplugged,Department of Music,Mildred Lane Kemper Art Museum,10/27/2023 - 12:00 PM
Kemper Unplugged,Department of Music,KEMPER ART MUSEUM,10/27/2023 - 12:00 PM
Introduction to Global Surgery,Global Health & Medicine,Cori,10/27/2023 - 12:00 PM
Pumpkin Glow,In the Lou Programming,"Historic Main Street in St. Charles, MO",10/27/2023 - 5:00 PM
Citywide Symphony Shabbat at The J,In the Lou Programming,JCC Staenberg Family Complex in Creve Coeur,10/27/2023 - 5:30 PM
Open Mic Night,WU Music Production,Ursa's Fireside,10/27/2023 - 6:00 PM
VSA by Night,Vietnamese Student Association,Chevre Events,10/27/2023 - 6:00 PM
Halloween - Mini Society Social - EG 1 - Neetij,Erlanger and Graham Society,Neetij's Apartment,10/27/2023 - 6:00 PM
Africa Week: Taste of Africa,African Students Association,McMillan Cafe,10/27/2023 - 6:00 PM
Spirits in the Garden,In the Lou Programming,Missouri Botanical Garden,10/27/2023 - 6:00 PM
Haunted House Fundraiser,Campus Y,Umrath Hall Basement,10/27/2023 - 7:00 PM
New Squid Slam,WUSlam,Umrath Lounge,10/27/2023 - 7:00 PM
Diwali 2023 Underpass painting,Ashoka,Underpass (Cube spot),10/28/2023 - 8:00 AM
ALAS x OC Affinity Hike to Hawn State!,Outing Club,Hawn State Park,10/28/2023 - 8:30 AM
Apple Butter Festival,In the Lou Programming,"Kimmswick, MO",10/28/2023 - 10:00 AM
Reset Vintage Presents: Thrift N' Heat,In the Lou Programming,St. Charles Convention Center,10/28/2023 - 10:00 AM
CWE Halloween Celebration,In the Lou Programming,Central West End: Maryland Plaza & Euclid Ave,10/28/2023 - 11:00 AM
Howl-O-Ween Pet Parade,In the Lou Programming,Delmar Loop,10/28/2023 - 11:00 AM
Bike Ride To Tower Grove Park,Outing Club,Tower Grove Park,10/28/2023 - 1:00 PM
Department of Music Showcase,Department of Music,"560 Music Center, E. Desmond Lee Concert Hall",10/28/2023 - 3:00 PM
Octoberfest,Association of Dual Degree Engineers,Behind 735 Westgate ave,10/28/2023 - 5:00 PM
Pumpkin Glow,In the Lou Programming,"Historic Main Street in St. Charles, MO",10/28/2023 - 5:00 PM
GBM Dance Night,PL4Y,Olin Studio,10/28/2023 - 5:45 PM
Halloween - Mini Society Social - Cori 1 - Annie,Cori Society,Annie's Apartment,10/28/2023 - 6:00 PM
48 St. Stephen featuring a World Premiere by Christopher Stark,Department of Music,"560 Music Center, E. Desmond Lee Concert Hall",10/28/2023 - 7:30 PM
Apple Butter Festival,In the Lou Programming,"Kimmswick, MO",10/29/2023 - 10:00 AM
The Immigrant at St. Louis Jewish Community Center,In the Lou Programming,St. Louis Jewish Community Center,10/29/2023 - 4:00 PM
Halloween - Mini Society Social - Cori 2 - Arielle,Cori Society,Arielle's Apartment,10/29/2023 - 6:00 PM
Halloween - Mini Society Social - Cori 2 - Arielle,Cori Society,Arielle's Apartment,10/29/2023 - 6:00 PM
General Surgery Intro Talk by Dr. Bethany Sacks,Surgery Interest Group,FLTC Room 301,10/30/2023 - 12:00 PM
Lunch talk with Dr. Jon Mullin,Medical Ethics Student Society,FLTC 302,10/30/2023 - 12:00 PM
Pop-Up Pause: Pumpkin Painting!,"Office for Religious, Spiritual & Ethical Life",Clocktower South 40,10/30/2023 - 4:00 PM
Halloween - Mini Society Social - EG 2 - Neetij,Erlanger and Graham Society,Neetij's Apartment,10/30/2023 - 6:00 PM
Halloween - Mini Society Social - LM 2 - Michelle,Lowry and Moore Society,Michelle's Apartment (+ Core Common Space),10/30/2023 - 6:00 PM
Fright Night,In the Lou Programming,Hi-Pointe Theatre,10/30/2023 - 7:30 PM
Sunrise Yoga,In the Lou Programming,Kiener Plaza,10/31/2023 - 7:00 AM
Halloween - Mini Society Social - LM 1 - Lilly,Lowry and Moore Society,Lilly's Apartment (+ Core Common Space),10/31/2023 - 6:00 PM
"Access STL Workshop: Transit, Urbanism, + Mobility",Access STL,"DUC 242, https://wustl.zoom.us/j/96564253130?pwd=em5kNWV4cnlDZ2xUd1lwMFJXbUhYQT09",10/31/2023 - 6:30 PM
Cheap Lunch,EnCouncil,Lopata Gallery,11/01/2023 - 11:00 AM
Cheap Lunch,EnCouncil,Lopata Gallery,11/01/2023 - 11:00 AM
Panel Discussion and Dinner on Medical Ethics and Business,Medical Ethics Student Society,Connor Auditorium,11/01/2023 - 5:00 PM
NCSC LI,WU International Relations Council,Georgetown University,11/02/2023 - 12:00 PM
Holman Weekly Studios,Studio: TESLA,"11055 St Charles Rock Rd, St Ann, MO 63074",11/02/2023 - 3:00 PM
Holman Weekly Studios,Studio: TESLA,"11055 St Charles Rock Rd, St Ann, MO 63074",11/02/2023 - 3:00 PM
Holman Weekly Studios,Studio: TESLA,"11055 St Charles Rock Rd, St Ann, MO 63074",11/02/2023 - 3:00 PM
Yale Bulldog Invitational,WU Mock Trial,"Yale University, New Haven, CT",11/03/2023 - 8:30 AM
St. Louis Art Museum's The Culture: Hip Hop and Contemporary Art in the 21st Century,In the Lou Programming,St. Louis Art Museum,11/03/2023 - 10:00 AM
The Holy Boulders Competition,Sports Club - Rock Climbing,"1 Tripps Ln., Pomona IL 62975",11/03/2023 - 12:00 PM
Circus Flora Presents: The St. Lou Revue,In the Lou Programming,"The Big Top: 3401 Washington Boulevard, St. Louis, MO 63103",11/03/2023 - 1:00 PM
Missouri Loves Company (MLC),Sports Club - Women's Ultimate,"1615 Business Loop 70 W, Columbia, MO 65202",11/03/2023 - 2:00 PM
Opening Reception for Finding Flow Art Exhibit,In the Lou Programming,Green Door Art Gallery,11/03/2023 - 5:00 PM
LMSA - Charlas Mixer with SLU LMSA,Latino Medical Student Association,Hearth Area in 2nd Floor FLTC,11/03/2023 - 5:30 PM
Games vs SIUE,Sports Club - Ice Hockey,East Alton Ice Rink,11/03/2023 - 6:30 PM
Green Eggs and Jam,Evergreens,"Graham Chapel, Holmes Lounge",11/03/2023 - 7:00 PM
Circus Flora Presents: The St. Lou Revue,In the Lou Programming,"The Big Top: 3401 Washington Boulevard, St. Louis, MO 63103",11/03/2023 - 7:00 PM
COME FROM AWAY @ FOX THEATRE,Lowry and Moore Society,The Fabulous Fox,11/03/2023 - 7:30 PM
ABS Skate Night,Association of Black Students,Coachlite Skating Rink,11/03/2023 - 9:30 PM
Arch Badminton Open Fall 2023,Sports Club - Badminton,Arch Badminton Center,11/04/2023 - 8:00 AM
Day Hike at Lone Elk Park,Outing Club,Lone Elk Park,11/04/2023 - 10:00 AM
Cherokee Street Jazz Crawl,In the Lou Programming,Cherokee Street,11/04/2023 - 10:00 AM
The Annual KWUR vs. KSLU Kickball Extravaganza,KWUR 90.3 FM,Forest Park,11/04/2023 - 11:00 AM
Circus Flora Presents: The St. Lou Revue,In the Lou Programming,"The Big Top: 3401 Washington Boulevard, St. Louis, MO 63103",11/04/2023 - 11:00 AM
Circus Flora Presents: The St. Lou Revue,In the Lou Programming,"The Big Top: 3401 Washington Boulevard, St. Louis, MO 63103",11/04/2023 - 3:00 PM
Laumeier After Dark 2023,In the Lou Programming,Laumeier Sculpture Park,11/04/2023 - 4:00 PM
Las Cafeteras: Hasta La Muerte at The Sheldon,In the Lou Programming,The Sheldon,11/04/2023 - 8:00 PM
Circus Flora Presents: The St. Lou Revue,In the Lou Programming,"The Big Top: 3401 Washington Boulevard, St. Louis, MO 63103",11/05/2023 - 12:00 PM
SPACE SUNdays,Spartan Light Metal Products Makerspace,Jubel Hall 138 (Danforth Campus),11/05/2023 - 1:30 PM
Liaison Group Fundraising Sprint,Campus Y,n/a,11/05/2023 - 4:00 PM
Circus Flora Presents: The St. Lou Revue,In the Lou Programming,"The Big Top: 3401 Washington Boulevard, St. Louis, MO 63103",11/05/2023 - 4:00 PM
Mama's Pot Roast Improv Show,Mama's Pot Roast,McDonnell 162,11/05/2023 - 8:00 PM
Global Health Skills Workshop: Cross-Cultural Communication,Global Health & Medicine,FLTC 301,11/06/2023 - 12:00 PM
Exploring Graduate School Workshop: Interview Day Prep and Follow-Up Materials,"College of Arts & Sciences, Post-Graduate and Pre-Professional Advising",DUC 248,11/06/2023 - 3:00 PM
Tuesday Tea @ 3! featuring Gateway to the Great Outdoors,Campus Life,Tisch Commons,11/07/2023 - 3:00 PM
Recruitment Trivia,Alpha Phi Omega,TBD,11/07/2023 - 3:00 PM
Cheap Lunch,EnCouncil,Lopata Gallery,11/08/2023 - 11:00 AM
EnCouncil GBM,EnCouncil,Simon Hall Room 22,11/08/2023 - 8:00 PM
13th Annual oSTEM Conference,oSTEM@WashU,"Anaheim Marriott, 700 W Convention Way",11/09/2023 - 1:00 PM
Holman Weekly Studios,Studio: TESLA,"11055 St Charles Rock Rd, St Ann, MO 63074",11/09/2023 - 3:00 PM
St. Louis International Film Festival,In the Lou Programming,Various,11/09/2023 - 5:00 PM
